#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonymns Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
225647	854208	851705	34444	32183	YOR043W	YDR127W	WHI2	ARO1	-	-	Positive Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	3.695268	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
226436	855974	854208	36052	34444	YPL129W	YOR043W	TAF14	WHI2	SWP29|TFG3|ANC1|TAF30	-	Positive Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	3.063573	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
227360	854208	855470	34444	35588	YOR043W	YNL251C	WHI2	NRD1	-	-	Positive Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	2.640641	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
235594	850650	854208	31241	34444	YLL010C	YOR043W	PSR1	WHI2	-	-	Affinity Capture-MS	physical	Collins SR (2007)	17200106	559292	559292	High Throughput	3.623137	-	-	-	-	BioGRID
237849	854208	850706	34444	31293	YOR043W	YLR019W	WHI2	PSR2	-	-	Two-hybrid	physical	Ito T (2001)	11283351	559292	559292	High Throughput	-	-	-	-	-	BioGRID
257341	852457	854208	32859	34444	YBR160W	YOR043W	CDC28	WHI2	CDK1|SRM5|HSL5	-	Two-hybrid	physical	Wong J (2007)	17634282	559292	559292	High Throughput	-	-	-	-	-	BioGRID
257794	855597	854208	35701	34444	YNL126W	YOR043W	SPC98	WHI2	-	-	Two-hybrid	physical	Wong J (2007)	17634282	559292	559292	High Throughput	-	-	-	-	-	BioGRID
260445	854208	851076	34444	31623	YOR043W	YLR362W	WHI2	STE11	-	-	Synthetic Rescue	genetic	Radcliffe PA (1997)	9202462	559292	559292	Low Throughput	-	-	filamentous growth:wild type	-	-	BioGRID
263476	854208	854836	34444	35011	YOR043W	YIR019C	WHI2	MUC1	-	STA4|FLO11	Phenotypic Suppression	genetic	Jin R (2008)	17989363	559292	559292	Low Throughput	-	-	filamentous growth:wild type	-	-	BioGRID
281711	850504	854208	31107	34444	YFL039C	YOR043W	ACT1	WHI2	ABY1|END7	-	Synthetic Haploinsufficiency	genetic	Haarer B (2007)	17167106	559292	559292	High Throughput	-	-	haploinsufficient	these complex haploinsufficient interactions with the act1-null hemizygote have a growth defect	-	BioGRID
284194	852762	854208	33135	34444	YGL116W	YOR043W	CDC20	WHI2	PAC5	-	Synthetic Growth Defect	genetic	Lin YY (2008)	18676811	559292	559292	High Throughput|Low Throughput	-	-	vegetative growth	High Throughput: dSLAM analysis was performed to determine genome-wide genetic interaction profiles of 38 query genes involved in histone (de)acetylation.|Low Throughput: Genetic interactions identified using dSLAM were validated by tetrad dissection and/or random spore analysis.	-	BioGRID
319395	850650	854208	31241	34444	YLL010C	YOR043W	PSR1	WHI2	-	-	Two-hybrid	physical	Yu H (2008)	18719252	559292	559292	High Throughput	-	-	-	-	-	BioGRID
319794	855630	854208	35730	34444	YNL094W	YOR043W	APP1	WHI2	-	-	Two-hybrid	physical	Yu H (2008)	18719252	559292	559292	High Throughput	-	-	-	-	-	BioGRID
326896	850620	854208	31215	34444	YLL039C	YOR043W	UBI4	WHI2	SCD2|UB14	-	Affinity Capture-MS	physical	Peng J (2003)	12872131	559292	559292	High Throughput	-	-	-	Candidate ubiquitin-conjugated proteins listed in supplementary table 1 of the paper.	-	BioGRID
332093	856870	854208	36877	34444	YER133W	YOR043W	GLC7	WHI2	CID1|DIS2	-	Synthetic Lethality	genetic	Logan MR (2008)	18627629	559292	559292	High Throughput|Low Throughput	-	-	inviable	High Throughput: Synthetic Genetic Array (SGA) analysis|Low Throughput: Random spore analysis	-	BioGRID
333409	850636	854208	31229	34444	YLL024C	YOR043W	SSA2	WHI2	YG102	-	Affinity Capture-MS	physical	Gong Y (2009)	19536198	559292	559292	High Throughput	-	-	-	The authors note that 21,687 interactions were identified as high confidence based on experimental scores and the distribution of scores in reference databases.  Only 1420 high confidence interactions were submitted to BioGRID by the authors because they met the additional criteria of containing reciprocal interactors in terms of the bait-prey relationship.	-	BioGRID
333410	854208	850636	34444	31229	YOR043W	YLL024C	WHI2	SSA2	-	YG102	Affinity Capture-MS	physical	Gong Y (2009)	19536198	559292	559292	High Throughput	-	-	-	The authors note that 21,687 interactions were identified as high confidence based on experimental scores and the distribution of scores in reference databases.  Only 1420 high confidence interactions were submitted to BioGRID by the authors because they met the additional criteria of containing reciprocal interactors in terms of the bait-prey relationship.	-	BioGRID
339289	852096	854208	32537	34444	YDR485C	YOR043W	VPS72	WHI2	SWC2	-	Phenotypic Enhancement	genetic	Beltrao P (2009)	19547744	559292	559292	High Throughput	-	-	colony size	-	-	BioGRID
339415	856004	854208	36080	34444	YPL100W	YOR043W	ATG21	WHI2	MAI1|HSV1	-	Phenotypic Enhancement	genetic	Beltrao P (2009)	19547744	559292	559292	High Throughput	-	-	colony size	-	-	BioGRID
339449	852763	854208	33136	34444	YGL115W	YOR043W	SNF4	WHI2	CAT3|SCI1	-	Phenotypic Enhancement	genetic	Beltrao P (2009)	19547744	559292	559292	High Throughput	-	-	colony size	-	-	BioGRID
339471	856612	854208	36639	34444	YHR205W	YOR043W	SCH9	WHI2	HRM2|KOM1	-	Phenotypic Enhancement	genetic	Beltrao P (2009)	19547744	559292	559292	High Throughput	-	-	colony size	-	-	BioGRID
339527	851442	854208	31947	34444	YDL115C	YOR043W	IWR1	WHI2	-	-	Phenotypic Enhancement	genetic	Beltrao P (2009)	19547744	559292	559292	High Throughput	-	-	colony size	-	-	BioGRID
339555	854208	856303	34444	36346	YOR043W	YPR173C	WHI2	VPS4	-	END13|GRD13|VPT10|DID6|CSC1|VPL4	Phenotypic Enhancement	genetic	Beltrao P (2009)	19547744	559292	559292	High Throughput	-	-	colony size	-	-	BioGRID
339556	854208	855618	34444	35718	YOR043W	YNL106C	WHI2	INP52	-	SJL2	Phenotypic Enhancement	genetic	Beltrao P (2009)	19547744	559292	559292	High Throughput	-	-	colony size	-	-	BioGRID
341544	854208	850367	34444	30988	YOR043W	YCR009C	WHI2	RVS161	-	FUS7|END6|SPE161	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
341589	854208	853667	34444	33952	YOR043W	YKL213C	WHI2	DOA1	-	UFD3|ZZZ4	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
341601	854208	850562	34444	31160	YOR043W	YFR010W	WHI2	UBP6	-	-	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
341603	854208	854150	34444	34392	YOR043W	YOL012C	WHI2	HTZ1	-	HTA3	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
341655	854208	852969	34444	33320	YOR043W	YGR078C	WHI2	PAC10	-	RKS2|PFD3|GIM2	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
341800	854208	851869	34444	32329	YOR043W	YDR276C	WHI2	PMP3	-	SNA1	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
341818	854208	856895	34444	36901	YOR043W	YER151C	WHI2	UBP3	-	BLM3	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
341847	854208	851086	34444	31631	YOR043W	YLR371W	WHI2	ROM2	-	-	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
341858	854208	853825	34444	34091	YOR043W	YKL041W	WHI2	VPS24	-	VPL26|DID3	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
341897	854208	850897	34444	31469	YOR043W	YLR200W	WHI2	YKE2	-	GIM1|PFD6	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
342031	854208	856715	34444	36728	YOR043W	YEL003W	WHI2	GIM4	-	PFD2	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
342074	854208	852709	34444	33087	YOR043W	YGL167C	WHI2	PMR1	-	BSD1|SSC1|LDB1	Synthetic Growth Defect	genetic	Dixon SJ (2008)	18931302	559292	559292	High Throughput	-	-	vegetative growth	EMAP	-	BioGRID
343446	854208	854542	34444	34745	YOR043W	YOR360C	WHI2	PDE2	-	SRA5	Dosage Rescue	genetic	Leadsham JE (2009)	19208759	559292	559292	Low Throughput	-	-	resistance to chemicals:wild type	overexpression of PDE2 rescues the sensitivity to oxidation in WHI2 mutant cells	-	BioGRID
343447	854208	853688	34444	33971	YOR043W	YKL166C	WHI2	TPK3	-	-	Synthetic Rescue	genetic	Leadsham JE (2009)	19208759	559292	559292	Low Throughput	-	-	resistance to chemicals:wild type	deletion of TPK3 rescues the sensitivity to oxidation in WHI2 mutant cells	-	BioGRID
343866	855103	854208	35255	34444	YMR079W	YOR043W	SEC14	WHI2	PIT1	-	Synthetic Growth Defect	genetic	Curwin AJ (2009)	19129178	559292	559292	High Throughput	-	-	heat sensitivity|vegetative growth	-	-	BioGRID
347939	852755	854208	33129	34444	YGL122C	YOR043W	NAB2	WHI2	-	-	Affinity Capture-RNA	physical	Batisse J (2009)	19840948	559292	559292	High Throughput	-	-	-	High Throughput: The experiment involved high-throughput sequencing of the RNAs that co-precipitated with TAP-tagged Nab2 (Nab2-TAP).	-	BioGRID
356406	852241	854208	32658	34444	YBL039C	YOR043W	URA7	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1217	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
357791	852370	854208	32780	34444	YBR078W	YOR043W	ECM33	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1776	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
357830	852371	854208	32781	34444	YBR079C	YOR043W	RPG1	WHI2	TIF32	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1707	-	colony size	YBR079C is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.|A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
359338	852500	854208	32898	34444	YBR201W	YOR043W	DER1	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.322	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
359969	852560	854208	32953	34444	YBR257W	YOR043W	POP4	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1982	-	colony size	YBR257W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.|A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
360097	852567	854208	32960	34444	YBR264C	YOR043W	YPT10	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1636	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
360968	2732686	854208	37085	34444	YCL005W-A	YOR043W	VMA9	WHI2	LDB10|CWH36	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1373	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
362030	850453	854208	31063	34444	YCR091W	YOR043W	KIN82	WHI2	FPK2	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1785	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
364715	851533	854208	32028	34444	YDL028C	YOR043W	MPS1	WHI2	RPK1	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1414	-	colony size	YDL028C is an essential gene and therefore the temperature sensitive allele YDL028C_tsq169 was used in the experiment|A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
366325	851682	854208	32162	34444	YDR105C	YOR043W	TMS1	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1312	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
368075	851778	854208	32249	34444	YDR197W	YOR043W	CBS2	WHI2	CBP7	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1994	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
368150	851784	854208	32253	34444	YDR202C	YOR043W	RAV2	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.2103	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
369939	851960	854208	32414	34444	YDR358W	YOR043W	GGA1	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.2798	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
370851	852050	854208	32496	34444	YDR440W	YOR043W	DOT1	WHI2	PCH1	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.4001	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
371968	852155	854208	32589	34444	YDR542W	YOR043W	PAU10	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.3626	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
372198	856653	854208	36672	34444	YEL057C	YOR043W	YEL057C	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.3002	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
373514	856686	854208	36702	34444	YEL027W	YOR043W	CUP5	WHI2	VMA3|CLS7|GEF2	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1675	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
373783	856712	854208	36725	34444	YEL006W	YOR043W	YEA6	WHI2	NDT2	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1509	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
374816	856753	854208	36766	34444	YER031C	YOR043W	YPT31	WHI2	YPT8	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.3679	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
375883	856847	854208	36856	34444	YER111C	YOR043W	SWI4	WHI2	ART1	-	Positive Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	0.2173	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
376891	856925	854208	36931	34444	YER178W	YOR043W	PDA1	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1823	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
378085	850562	854208	31160	34444	YFR010W	YOR043W	UBP6	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.2664	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
378434	852639	854208	33026	34444	YGL253W	YOR043W	HXK2	WHI2	SCI2|HEX1|HKB	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.2499	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
378497	852640	854208	33027	34444	YGL252C	YOR043W	RTG2	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.2464	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
380888	852837	854208	33203	34444	YGL045W	YOR043W	RIM8	WHI2	PAL3|ART9|YGL046W	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1266	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
382684	853026	854208	33373	34444	YGR125W	YOR043W	YGR125W	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1814	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
383022	853065	854208	33408	34444	YGR161C	YOR043W	RTS3	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1937	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
383499	853085	854208	33427	34444	YGR174C	YOR043W	CBP4	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1655	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
383643	853095	854208	33435	34444	YGR183C	YOR043W	QCR9	WHI2	UCR9	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1733	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
384217	853159	854208	33495	34444	YGR244C	YOR043W	LSC2	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1311	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
384568	853186	854208	33519	34444	YGR270W	YOR043W	YTA7	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1316	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
384684	853207	854208	33539	34444	YGR289C	YOR043W	MAL11	WHI2	AGT1	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1512	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
384785	856388	854208	36424	34444	YHL001W	YOR043W	RPL14B	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1489	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
386782	856595	854208	36622	34444	YHR188C	YOR043W	GPI16	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1632	-	colony size	YHR188C is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.|A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
389542	853256	854208	33579	34444	YJL183W	YOR043W	MNN11	WHI2	-	-	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.2436	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BioGRID
